safe_instance_id,past_tense_verb_rate,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_compound,pov_first_rate,pov_second_rate,pov_third_rate,pov_dominant,concreteness_mean,concreteness_coverage,temporal_mention_rate,temporal_mention_count
inst_e19c07039385101b_153,0.011628,0.068,0.057,0.875,0.5994,0.0,0.0,0.011628,third,3.2584,1.0,0.0,0
inst_92388afd0e3b7cab_154,0.018868,0.204,0.0,0.796,0.8881,0.018868,0.018868,0.113208,third,2.618,1.0,0.0,0
inst_20123761da680746_155,0.010811,0.059,0.048,0.893,0.0222,0.021622,0.059459,0.07027,third,2.6418,1.0,0.005405,1
inst_2ecbc6bcab0d0c87_156,0.175439,0.103,0.0,0.897,0.5859,0.105263,0.0,0.070175,first,2.7233,1.0,0.017544,1
inst_ac620b50701faf6d_157,0.03125,0.345,0.032,0.623,0.9738,0.015625,0.0,0.0,first,3.205,1.0,0.015625,1
inst_53f5cabec96717fe_158,0.065574,0.076,0.0,0.924,0.5927,0.098361,0.0,0.016393,first,2.8017,1.0,0.04918,3
inst_07ff6e85fae599de_159,0.06383,0.137,0.019,0.844,0.9052,0.074468,0.010638,0.06383,first,3.0137,0.9677,0.0,0
inst_e41d2f0037892f07_160,0.070423,0.14,0.081,0.779,0.5023,0.0,0.014085,0.028169,third,3.3212,0.9231,0.014085,1
inst_6007a7a4330659b3_161,0.0,0.192,0.188,0.62,-0.1787,0.0,0.0,0.070175,third,3.0895,1.0,0.0,0
inst_ba7ef12815afa4f5_162,0.071429,0.082,0.0,0.918,0.4939,0.0,0.0,0.02381,third,3.0156,0.8571,0.0,0
inst_68763b7e9925ac57_163,0.084507,0.184,0.176,0.64,0.1761,0.112676,0.0,0.070423,first,2.5248,1.0,0.0,0
inst_14651d1a233c9d09_164,0.023256,0.0,0.185,0.815,-0.8271,0.0,0.0,0.046512,third,3.8317,0.6667,0.0,0
inst_6e24a105e2abe6ab_165,0.0,0.13,0.065,0.805,0.2732,0.0,0.0,0.0,none,3.2114,0.913,0.0,0
inst_14c7f2f6bb3fa0eb_166,0.067416,0.053,0.123,0.824,-0.6908,0.022472,0.0,0.0,first,3.5004,0.9333,0.033708,3
inst_89480455822b2326_167,0.045455,0.163,0.0,0.837,0.8779,0.030303,0.015152,0.075758,third,2.91,0.9231,0.030303,2
